pct,quantity_per_item,items
15M,14,19831
15M,42,2029
15M,60,876
15M,10,347
15M,16,765
15M,32,345
15M,44,85
15M,100,900
15M,40,389
15M,36,145
15M,2,366
15M,9,79
15M,224,163
15M,22,59
15M,49,118
15M,54,20
15M,88,43
15M,252,178
15M,43,20
15M,27,26
15M,45,92
15M,55,22
15M,180,40
15M,83,4
15M,62,9
15M,82,15
15M,53,22
15M,150,49
15M,136,11
15M,64,33
15M,360,4
15M,46,50
15M,196,58
15M,92,20
15M,86,18
15M,300,16
15M,210,4
15M,47,28
06H,28,2031699
06H,112,3813
06H,84,28546
06H,42,2314
06H,90,209
06H,10,345
06H,15,178
06H,21,664
06H,76,11
06H,3,549
06H,210,10
06H,50,125
06H,49,16
06H,12,803
06H,35,85
06H,18,76
06H,39,8
06H,140,99
06H,5,234
06H,17,78
06H,130,6
06H,70,89
06H,48,34
06H,88,6
06H,45,51
06H,31,42
06H,34,6
06H,175,3
06L,56,222464
06L,8,404
06L,16,222
06L,168,1296
06L,70,103
06L,150,12
06L,48,42
06L,58,28
06L,100,138
06L,30,118
06L,4,441
06L,3,237
06L,22,9
06L,31,8
06L,192,5
06L,72,27
06L,15,28
06L,34,14
06L,125,9
06L,64,18
06L,13,19
06L,52,13
06L,98,13
06M,7,26591
06M,45,27
06M,84,8643
06M,9,22
06M,43,22
06M,29,23
06M,35,109
06M,2,311
06M,60,185
06M,1,2732
06M,31,24
06M,120,16
06M,24,81
06M,46,29
06M,52,31
06M,44,43
06M,13,18
06M,50,38
06M,152,7
06M,11,32
06M,22,26
06M,252,19
06M,64,8
06M,51,29
06V,4,540
06V,40,15
06V,128,6
06V,100,27
06V,12,123
06V,5,30
06V,70,26
06V,126,4
06V,11,84
06V,18,9
06V,52,1
06V,2,34
06V,196,3
06W,84,5398
06W,50,11
06W,30,437
06W,12,105
06W,21,246
06W,168,1246
06W,4,565
06W,164,7
06W,38,9
06W,40,35
06W,8,118
06W,18,15
06W,5,63
06W,16,98
06W,140,16
06W,48,15
06W,196,29
06W,20,26
06Y,7,38345
06Y,42,410
06Y,35,100
06Y,10,72
06Y,112,751
06Y,20,300
06Y,16,151
06Y,60,97
06Y,1,997
06Y,224,9
06Y,25,14
06Y,168,97
06Y,11,109
06Y,21,468
06Y,96,10
06Y,120,12
06Y,43,13
06Y,31,10
07J,5,25
07J,14,8166
07J,20,251
07J,168,101
07J,8,252
07J,21,122
07J,32,13
07J,9,10
07J,12,168
07J,16,141
07J,336,11
07J,60,86
07J,45,6
07K,14,9536
07K,20,259
07K,50,37
07K,200,17
07K,11,41
07K,98,13
07K,196,6
07K,1,75
07K,102,13
07K,31,17
07K,29,16
07K,252,4
07K,18,18
06Q,84,13600
06Q,14,11314
06Q,60,257
06Q,2,300
06Q,26,27
06Q,15,61
06Q,21,668
06Q,17,10
06Q,13,29
06Q,70,34
06Q,9,23
06Q,45,2
06Q,51,5
06Q,24,71
06Q,25,20
06T,7,56092
06T,28,1244766
06T,14,13182
06T,30,761
06T,84,8447
06T,40,89
06T,8,845
06T,168,171
06T,60,137
06T,10,111
06T,9,25
06T,18,46
06T,36,147
06T,26,39
06T,48,39
06T,70,78
06T,6,55
06T,38,15
06T,35,18
06T,37,2
07G,7,36485
07G,28,438067
07G,21,87
07G,44,13
07G,224,5
07G,32,19
07G,200,26
07G,280,6
07G,12,59
07G,16,68
07G,106,5
07G,24,19
07G,11,6
07H,30,533
07H,60,433
07H,84,6259
07H,20,318
07H,36,102
07H,200,39
07H,5,56
07H,100,281
07H,21,338
07H,47,1
07H,24,56
07H,140,34
07H,25,5
07H,120,62
07H,88,2
07H,35,21
99E,28,282946
99E,84,20363
99E,7,62081
99E,21,144
99E,58,27
99E,90,115
99E,14,3121
99E,55,32
99E,180,55
99E,224,32
99E,32,40
99E,6,9
99E,3,54
99E,29,22
99E,5,45
99E,2,38
99E,108,2
99E,44,8
99F,56,203645
99F,84,28288
99F,48,119
99F,168,563
99F,41,5
99F,14,1547
99F,20,38
99F,50,18
99F,72,21
99F,3,96
99F,77,2
99F,55,10
99F,11,18
99F,68,3
99F,32,32
99F,17,9
99F,39,11
99F,31,38
99F,336,2
99F,420,4
99G,56,176449
99G,84,21878
99G,16,116
99G,24,85
99G,40,66
99G,2,28
99G,5,46
99G,31,30
99G,80,61
99G,21,159
99G,32,78
99G,72,164
99G,38,16
99G,44,58
99G,64,67
99G,11,15
99G,70,18
99G,196,19
03V,28,255072
03V,56,5315
03V,30,221
03V,1,19
03V,4,17
03V,12,40
03V,15,11
03V,20,43
03V,42,205
03V,168,13
03V,285,1
03V,16,8
03V,76,12
04F,60,428
04F,4,661
04F,140,27
04F,8,33
04F,42,125
04F,113,3
04F,120,46
04F,252,46
04F,90,133
04F,11,123
04F,64,6
04F,102,1
04F,2,31
04F,280,5
04F,160,4
04F,3,127
04F,270,18
04F,6,16
04F,224,46
04F,504,2
04F,22,5
04F,128,6
04G,14,19792
04G,84,9633
04G,5,114
04G,60,270
04G,90,101
04G,98,69
04G,100,264
04G,27,6
04G,32,47
04G,2,654
04G,25,16
04G,50,85
04G,19,29
04G,92,11
04G,52,13
04G,75,26
06F,28,900756
06F,8,442
06F,45,25
06F,100,196
06F,112,3624
06F,69,1
06F,21,285
06F,23,58
06F,5,90
06F,6,78
06F,196,33
06F,44,21
06F,164,1
06F,11,122
06F,144,1
06F,120,28
06F,50,1
06F,24,94
06F,15,58
06F,35,36
06F,96,13
06F,88,4
06K,14,13703
06K,84,12924
06K,16,585
06K,112,2942
06K,48,37
06K,120,49
06K,8,599
06K,40,180
06K,72,17
06K,168,587
06K,35,46
06K,36,158
06K,21,814
06K,31,4
06K,18,31
06K,80,18
06K,200,74
06K,44,70
06K,24,57
06K,70,77
06K,13,14
06K,22,12
06N,28,318537
06N,56,614649
06N,112,11053
06N,60,1351
06N,17,14
06N,4,2896
06N,10,112
06N,256,3
06N,1,206
06N,70,56
06N,74,12
06N,76,15
06N,6,271
06N,2,656
06N,240,11
06N,312,4
06N,25,30
06N,174,5
06N,336,27
06N,35,43
06N,152,11
06N,500,2
06N,43,4
06P,60,1189
06P,3,26
06P,1,64
06P,42,155
06P,24,13
06P,16,27
06P,12,35
06P,44,3
06P,13,5
06P,46,11
06P,22,5
06P,11,3
06P,21,99
